,algorithm,tolerance1,T,x0,xmin,fmin,iterations,time
0,Nelder-mead,1e-05,0.01,[ 0.39 -1.05  0.1   2.45],[ 0.   -0.03  0.38  2.55],2465.94,415,0.017008066177368164
1,Nelder-mead,1e-05,0.1,[-3.06 -3.38  2.67 -0.84],[ 0.   -0.04  0.88 -4.19],2806.28,446,0.017707347869873047
2,Nelder-mead,1e-05,1.0,[4.42 3.87 2.23 1.43],[ 0.   -0.03  0.47  1.24],2494.17,444,0.017372846603393555
3,Nelder-mead,1e-05,10.0,[ 3.89 -2.64  3.82  1.5 ],[ 0.   -0.02  0.08  6.39],2486.91,416,0.01595926284790039
4,Nelder-mead,1e-05,30.0,[0.86 4.83 0.14 1.12],[ 0.   -0.02  0.37  2.4 ],2468.18,399,0.015398740768432617
5,Nelder-mead,1e-05,50.0,[-4.41  1.   -3.35 -1.37],[ 0.   -0.04  0.91 -4.78],2859.57,390,0.014918804168701172
6,Nelder-mead,1e-05,100.0,[-0.87  1.68 -1.54 -1.44],[ 0.   -0.04  0.93 -5.16],2896.65,469,0.017500877380371094
7,Nelder-mead,0.0001,0.01,[4.6  2.91 0.32 3.72],[ 0.   -0.03  0.52  1.14],2503.21,458,0.018262624740600586
8,Nelder-mead,0.0001,0.1,[ 4.17  2.63 -3.67 -3.25],[  0.    -0.05   1.56 -13.95],4163.96,425,0.01647019386291504
9,Nelder-mead,0.0001,1.0,[-0.18 -0.41 -1.62  0.7 ],[ 0.   -0.03  0.61 -0.61],2566.11,474,0.01773667335510254
10,Nelder-mead,0.0001,10.0,[-1.12  2.05 -4.45 -3.43],[  0.    -0.04   1.35 -10.65],3587.45,394,0.015302896499633789
11,Nelder-mead,0.0001,30.0,[-1.87  1.21 -4.23 -3.36],[  0.    -0.05   1.42 -11.68],3753.86,415,0.016025066375732422
12,Nelder-mead,0.0001,50.0,[-1.27 -0.19 -4.41  4.99],[ 0.    0.   -1.05 21.43],4079.5,472,0.017676353454589844
13,Nelder-mead,0.0001,100.0,[ 4.47  1.66 -4.36  3.78],[ 0.   -0.02 -0.13  9.06],2594.13,436,0.01769280433654785
14,Nelder-mead,0.001,0.01,[-1.16 -2.74 -1.2   4.13],[ 0.   -0.02  0.28  3.83],2455.96,471,0.018040180206298828
15,Nelder-mead,0.001,0.1,[ 2.45 -1.87 -4.13 -0.6 ],[ 0.   -0.02  0.21  4.64],2457.79,433,0.01651144027709961
16,Nelder-mead,0.001,1.0,[-2.59  4.97  2.43 -3.63],[  0.    -0.08   3.03 -29.83],8666.45,452,0.016957521438598633
17,Nelder-mead,0.001,10.0,[ 0.5  -1.58  3.35 -3.39],[  0.    -0.05   1.56 -12.23],3866.36,471,0.017333269119262695
18,Nelder-mead,0.001,30.0,[ 0.3  -0.68 -2.69  3.11],[ 0.   -0.02  0.23  4.33],2456.0,367,0.014019489288330078
19,Nelder-mead,0.001,50.0,[-1.83 -4.17  3.57 -4.71],[ 0.   -0.04  0.92 -5.06],2887.42,470,0.018156051635742188
20,Nelder-mead,0.001,100.0,[0.39 0.64 3.95 5.  ],[ 0.000e+00 -1.000e-02 -3.900e-01  1.339e+01],2956.81,477,0.0179898738861084
21,Nelder-mead,0.01,0.01,[-1.81  1.22 -4.24  3.87],[  0.    -0.1    3.98 -46.64],16079.78,435,0.01668524742126465
22,Nelder-mead,0.01,0.1,[ 0.63 -3.11 -4.75 -1.6 ],[ 0.   -0.02  0.24  3.78],2461.04,479,0.017606496810913086
23,Nelder-mead,0.01,1.0,[-2.97 -4.22 -3.09 -0.52],[ 0.   -0.03  0.71 -2.05],2646.17,442,0.01967144012451172
24,Nelder-mead,0.01,10.0,[-3.76  4.35 -3.86 -1.34],[ 0.   -0.03  0.8  -3.14],2721.49,388,0.015295982360839844
25,Nelder-mead,0.01,30.0,[-4.51 -1.18  1.12 -3.08],[ 0.   -0.04  1.25 -6.55],3164.11,252,0.010336875915527344
26,Nelder-mead,0.01,50.0,[-0.92  2.39 -4.29  4.82],[ 0.000e+00 -1.000e-02 -4.600e-01  1.432e+01],3059.71,476,0.018462657928466797
27,Nelder-mead,0.01,100.0,[-1.51 -4.52  3.27  3.22],[ 0.   -0.02  0.21  4.67],2457.99,403,0.015588998794555664
28,Nelder-mead,0.1,0.01,[2.86 4.54 3.78 3.3 ],[ 0.000e+00 -1.000e-02 -5.000e-01  1.415e+01],3008.69,419,0.01632404327392578
29,Nelder-mead,0.1,0.1,[-2.9  -3.21  3.45 -3.04],[ 0.   -0.04  1.05 -5.71],2961.3,469,0.017404556274414062
30,Nelder-mead,0.1,1.0,[ 2.18  0.85  2.31 -4.04],[ 0.   -0.02  0.23  4.32],2455.96,418,0.016187429428100586
31,Nelder-mead,0.1,10.0,[-3.98 -4.11  1.    1.56],[ 0.   -0.03  0.5   0.85],2506.29,412,0.016248464584350586
32,Nelder-mead,0.1,30.0,[ 4.   -2.44 -3.42  0.57],[ 0.   -0.03  0.7  -1.88],2635.37,410,0.016770601272583008
33,Nelder-mead,0.1,50.0,[-0.52  2.32 -0.22  4.86],[ 0.00e+00 -1.00e-02 -4.70e-01  1.13e+01],2846.08,467,0.017810583114624023
34,Nelder-mead,0.1,100.0,[-4.52 -0.94  4.9   2.59],[ 0.   -0.02  0.2   4.73],2458.46,423,0.016370534896850586
35,Nelder-mead,1.0,0.01,[ 0.24  4.48 -4.1  -0.51],[  0.    -0.04   1.35 -10.9 ],3628.51,470,0.017449617385864258
36,Nelder-mead,1.0,0.1,[-1.23  2.22  1.41  1.18],[ 0.   -0.02  0.29  3.54],2456.04,414,0.01576519012451172
37,Nelder-mead,1.0,1.0,[-4.35 -1.92 -4.76 -3.51],[  0.    -0.06   2.03 -20.08],5527.59,476,0.017776012420654297
38,Nelder-mead,1.0,10.0,[2.24 3.92 2.56 3.73],[ 0.000e+00 -1.000e-02 -3.300e-01  1.186e+01],2787.93,467,0.01857590675354004
39,Nelder-mead,1.0,30.0,[-3.76 -1.17 -4.61  3.49],[ 0.000e+00  2.000e-02 -1.700e+00  2.848e+01],5690.13,463,0.017723798751831055
40,Nelder-mead,1.0,50.0,[ 1.86 -1.8   4.94 -0.37],[ 0.   -0.03  0.6  -0.56],2562.75,415,0.01567983627319336
41,Nelder-mead,1.0,100.0,[ 2.05  2.14 -2.96  1.77],[ 0.   -0.02  0.26  3.99],2455.2,436,0.01650691032409668
42,Nelder-mead,10.0,0.01,[ 3.39  0.89 -2.27  3.2 ],[ 0.000e+00  1.000e-02 -1.290e+00  2.358e+01],4517.58,428,0.016532182693481445
43,Nelder-mead,10.0,0.1,[-1.63  2.45 -1.32  0.42],[ 0.   -0.03  0.46  1.35],2490.87,414,0.0161435604095459
44,Nelder-mead,10.0,1.0,[-0.2  -1.1   3.51  1.82],[ 0.   -0.02  0.18  5.03],2461.41,356,0.014531850814819336
45,Nelder-mead,10.0,10.0,[ 4.71 -0.   -4.55 -4.56],[ 0.   -0.01 -0.31  9.57],2703.05,467,0.01828312873840332
46,Nelder-mead,10.0,30.0,[-4.81  4.05  3.57  3.4 ],[ 0.   -0.   -0.79 17.88],3487.14,466,0.01727008819580078
47,Nelder-mead,10.0,50.0,[ 1.19 -2.45  0.08 -1.27],[ 0.   -0.03  0.56  0.41],2524.03,436,0.01662302017211914
48,Nelder-mead,10.0,100.0,[-4.32 -1.07  0.32  2.31],[ 0.   -0.04  1.28 -7.53],3231.16,455,0.01730632781982422
49,Nelder-mead,100.0,0.01,[-2.65  1.86  4.5  -2.2 ],[ 0.   -0.02  0.13  5.7 ],2471.57,413,0.016725778579711914
50,Nelder-mead,100.0,0.1,[-3.75 -2.19 -2.25 -2.19],[ 0.   -0.04  1.04 -6.48],3032.47,431,0.018201351165771484
51,Nelder-mead,100.0,1.0,[ 3.16  1.51 -1.83  0.84],[ 0.   -0.03  0.41  1.97],2475.86,433,0.017072677612304688
52,Nelder-mead,100.0,10.0,[-4.94 -2.07 -4.2   3.53],[ 0.   -0.   -0.83 17.54],3450.99,462,0.018957853317260742
53,Nelder-mead,100.0,30.0,[ 4.08  3.86  2.2  -3.41],[ 0.   -0.02  0.26  3.91],2455.2,444,0.017910242080688477
54,Nelder-mead,100.0,50.0,[-0.9  -1.4  -0.92  2.61],[ 0.   -0.01 -0.15  9.06],2596.31,385,0.015366554260253906
55,Nelder-mead,100.0,100.0,[ 3.73  4.36 -3.24  2.3 ],[ 0.   -0.02  0.05  6.71],2495.9,457,0.01722240447998047
56,Nelder-mead,1000.0,0.01,[ 3.76 -0.74  2.58 -0.42],[ 0.   -0.03  0.61 -0.73],2571.42,419,0.017083406448364258
57,Nelder-mead,1000.0,0.1,[ 0.22  0.06 -0.75  1.14],[ 0.   -0.02  0.25  4.03],2455.23,396,0.015529155731201172
58,Nelder-mead,1000.0,1.0,[-3.87 -4.29 -2.26  4.35],[ 0.000e+00 -1.000e-02 -5.500e-01  1.423e+01],3021.31,446,0.016991853713989258
59,Nelder-mead,1000.0,10.0,[-4.87  1.36 -2.2   2.09],[ 0.   -0.03  0.54  0.33],2524.69,462,0.01750016212463379
60,Nelder-mead,1000.0,30.0,[-0.07  0.42 -0.74 -2.8 ],[ 0.   -0.04  1.11 -7.02],3099.22,474,0.017891407012939453
61,Nelder-mead,1000.0,50.0,[-3.21 -0.58 -1.36  3.19],[ 0.000e+00 -1.000e-02 -3.200e-01  1.144e+01],2754.95,470,0.01738429069519043
62,Nelder-mead,1000.0,100.0,[-3.81 -1.74  0.69 -0.18],[ 0.   -0.03  0.58 -0.29],2550.39,445,0.018088817596435547
63,Nelder-mead,10000.0,0.01,[-0.11 -3.02  3.61  4.  ],[ 0.   -0.02  0.26  3.94],2455.19,473,0.0178530216217041
64,Nelder-mead,10000.0,0.1,[-0.46 -1.37 -1.87 -2.41],[  0.    -0.05   1.45 -12.75],3954.86,466,0.017856359481811523
65,Nelder-mead,10000.0,1.0,[-3.95 -4.98 -4.43  3.52],[ 0.   -0.03  0.52  0.57],2515.81,425,0.01650071144104004
66,Nelder-mead,10000.0,10.0,[ 0.4  -0.24 -4.32 -0.23],[ 0.   -0.03  0.66 -1.33],2602.91,400,0.015550374984741211
67,Nelder-mead,10000.0,30.0,[ 3.4  -3.42  2.82 -2.79],[ 0.   -0.03  0.79 -3.11],2719.35,423,0.016210556030273438
68,Nelder-mead,10000.0,50.0,[ 1.8  -3.86  1.43  0.52],[ 0.   -0.03  0.45  1.39],2489.94,431,0.017567873001098633
69,Nelder-mead,10000.0,100.0,[-0.66  0.   -3.22  2.01],[ 0.    0.   -0.76 14.25],3224.31,471,0.017815113067626953
70,Nelder-mead,100000.0,0.01,[-4.78 -2.01  4.28  1.01],[ 0.   -0.02  0.35  2.74],2462.88,424,0.016473770141601562
71,Nelder-mead,100000.0,0.1,[-4.79  0.03 -1.62 -0.63],[ 0.   -0.03  0.7  -1.92],2637.62,462,0.017961740493774414
72,Nelder-mead,100000.0,1.0,[ 3.56 -3.93 -4.07 -1.65],[ 0.   -0.03  0.61 -0.61],2565.26,412,0.016080141067504883
73,Nelder-mead,100000.0,10.0,[ 0.11 -4.67 -0.5   1.2 ],[ 0.   -0.02  0.22  4.51],2456.92,302,0.011885404586791992
74,Nelder-mead,100000.0,30.0,[4.58 0.9  4.34 2.26],[ 0.   -0.03  0.65 -1.14],2592.61,454,0.01744985580444336
75,Nelder-mead,100000.0,50.0,[-1.72 -3.75 -2.74  0.18],[ 0.   -0.03  0.52  0.57],2515.56,394,0.016487836837768555
76,Nelder-mead,100000.0,100.0,[ 3.71  2.28 -4.09 -0.05],[ 0.   -0.03  0.55  0.11],2533.23,464,0.017937421798706055
77,Nelder-mead,1000000.0,0.01,[ 0.8  -4.71 -4.82 -4.7 ],[  0.    -0.07   2.83 -32.24],9494.82,464,0.01784658432006836
78,Nelder-mead,1000000.0,0.1,[ 1.58 -2.03  1.1   2.58],[ 0.   -0.02  0.25  4.19],2455.54,442,0.017075538635253906
79,Nelder-mead,1000000.0,1.0,[ 2.95 -3.04 -4.76 -2.71],[ 0.   -0.03  0.79 -2.81],2699.71,467,0.017499446868896484
80,Nelder-mead,1000000.0,10.0,[ 1.51  0.89 -2.3   1.38],[ 0.   -0.02  0.13  5.6 ],2469.77,406,0.01564645767211914
81,Nelder-mead,1000000.0,30.0,[-2.24  2.08  0.32 -0.49],[ 0.   -0.03  0.57 -0.13],2543.5,450,0.01821112632751465
82,Nelder-mead,1000000.0,50.0,[0.63 2.13 2.75 2.47],[ 0.   -0.02  0.04  6.81],2498.9,338,0.013649702072143555
83,Nelder-mead,1000000.0,100.0,[ 2.79  4.06 -2.67  4.93],[ 0.   -0.02  0.25  4.06],2455.26,427,0.020844221115112305
84,Newton-CG,1e-05,0.01,[-0.94 -3.35 -4.01  4.9 ],[ 0.   -0.02  0.26  3.94],2455.19,7,0.002611875534057617
85,Newton-CG,1e-05,0.1,[-2.42 -1.86 -0.23  4.32],[ 0.   -0.02  0.23  4.35],2456.06,4,0.0008485317230224609
86,Newton-CG,1e-05,1.0,[-3.67  3.73 -4.01  3.88],[ 0.   -0.02  0.26  3.94],2455.19,5,0.0009963512420654297
87,Newton-CG,1e-05,10.0,[-1.81 -1.   -4.06 -3.5 ],[ 0.   -0.02  0.26  3.94],2455.19,5,0.0013391971588134766
88,Newton-CG,1e-05,30.0,[ 1.   -2.99 -3.99 -3.55],[ 0.   -0.02  0.26  3.94],2455.19,5,0.0009758472442626953
89,Newton-CG,1e-05,50.0,[ 2.7  -1.75 -2.52  4.27],[ 0.   -0.02  0.26  3.94],2455.19,6,0.001184701919555664
90,Newton-CG,1e-05,100.0,[-1.74 -2.72  0.82  1.45],[ 0.   -0.03  0.45  1.42],2488.99,4,0.0007574558258056641
91,Newton-CG,0.0001,0.01,[ 0.74 -0.79  2.92 -0.41],[ 0.   -0.02  0.26  3.94],2455.19,5,0.0009868144989013672
92,Newton-CG,0.0001,0.1,[ 0.92 -1.62  1.65 -4.72],[ 0.   -0.04  0.92 -4.76],2857.52,4,0.0007560253143310547
93,Newton-CG,0.0001,1.0,[ 3.63  0.47 -2.58  3.29],[ 0.    0.06 -2.59  3.29],29968.48,3,0.0005421638488769531
94,Newton-CG,0.0001,10.0,[ 4.43  4.05 -1.1  -2.52],[ 0.   -0.03  0.74 -2.37],2666.86,4,0.0007512569427490234
95,Newton-CG,0.0001,30.0,[ 1.59 -2.98 -0.37  4.77],[ 0.   -0.02  0.2   4.81],2459.14,4,0.0007653236389160156
96,Newton-CG,0.0001,50.0,[-3.1  -1.37  0.52 -1.7 ],[ 0.   -0.03  0.56 -1.7 ],2680.96,3,0.0006222724914550781
97,Newton-CG,0.0001,100.0,[-1.1   2.7  -1.13 -1.79],[ 0.   -0.02  0.26  3.94],2455.19,5,0.0020058155059814453
98,Newton-CG,0.001,0.01,[ 3.15  1.18  2.87 -1.15],[ 0.   -0.09  2.83 -1.15],18188.28,3,0.0009665489196777344
99,Newton-CG,0.001,0.1,[-4.38 -2.66  4.64 -4.04],[ 0.   -0.02  0.26  3.94],2455.19,4,0.005338907241821289
100,Newton-CG,0.001,1.0,[-2.1   0.9  -3.78  3.04],[ 0.    0.1  -3.81  3.04],58302.37,3,0.0008287429809570312
101,Newton-CG,0.001,10.0,[-2.54  0.38 -3.21 -4.21],[ 0.    0.09 -3.22 -4.21],57538.35,3,0.0007357597351074219
102,Newton-CG,0.001,30.0,[ 4.12 -1.47  1.01  4.95],[ 0.   -0.05  1.06  4.95],4939.65,3,0.0006070137023925781
103,Newton-CG,0.001,50.0,[-1.23 -1.06  0.54 -4.94],[ 0.   -0.04  0.93 -4.9 ],2870.73,4,0.0008220672607421875
104,Newton-CG,0.001,100.0,[-1.54  0.26  0.47  1.35],[ 0.   -0.03  0.46  1.35],2490.99,3,0.0005774497985839844
105,Newton-CG,0.01,0.01,[ 1.31  3.15 -4.91 -3.45],[ 0.   -0.02  0.26  3.94],2455.19,5,0.001245737075805664
106,Newton-CG,0.01,0.1,[-4.27  4.84  1.54 -3.43],[ 0.   -0.03  0.82 -3.46],2746.46,4,0.0012505054473876953
107,Newton-CG,0.01,1.0,[ 4.13 -1.28 -3.59  0.04],[ 0.    0.09 -3.54  0.04],57430.02,3,0.0010292530059814453
108,Newton-CG,0.01,10.0,[-0.55  2.29 -4.89 -4.97],[ 0.   -0.02  0.26  3.94],2455.19,5,0.002078533172607422
109,Newton-CG,0.01,30.0,[-4.68 -3.45 -3.94  1.68],[ 0.   -0.02  0.26  3.94],2455.19,5,0.001837015151977539
110,Newton-CG,0.01,50.0,[ 3.67  0.23  3.17 -0.21],[ 0.   -0.11  3.16 -0.21],24300.82,3,0.0010945796966552734
111,Newton-CG,0.01,100.0,[-1.09  2.8   3.69 -4.02],[ 0.   -0.02  0.26  3.94],2455.19,5,0.0017080307006835938
112,Newton-CG,0.1,0.01,[ 3.54 -2.22  4.96  1.35],[ 0.   -0.02  0.26  3.94],2455.19,4,0.0020933151245117188
113,Newton-CG,0.1,0.1,[-3.26 -4.07  4.84  2.99],[ 0.   -0.02  0.26  3.94],2455.19,5,0.0013196468353271484
114,Newton-CG,0.1,1.0,[-3.61 -1.18 -0.13  3.13],[ 0.   -0.01 -0.09  3.13],3023.41,3,0.0009264945983886719
115,Newton-CG,0.1,10.0,[4.48 3.74 0.45 3.82],[ 0.   -0.02  0.27  3.81],2455.28,3,0.00130462646484375
116,Newton-CG,0.1,30.0,[-2.22 -3.22  2.57 -3.71],[ 0.   -0.02  0.26  3.94],2455.19,5,0.0025331974029541016
117,Newton-CG,0.1,50.0,[-4.42  1.47  0.16  0.66],[ 0.   -0.02  0.11  0.66],3024.49,3,0.0011374950408935547
118,Newton-CG,0.1,100.0,[ 0.67 -3.45  3.4   4.4 ],[ 0.   -0.02  0.26  3.94],2455.19,4,0.0016162395477294922
119,Newton-CG,1.0,0.01,[-4.46 -4.44 -0.53 -4.68],[ 0.   -0.04  0.91 -4.57],2840.15,3,0.0010259151458740234
120,Newton-CG,1.0,0.1,[-3.66 -0.38  1.41 -1.45],[ 0.   -0.34  1.41 -1.45],4519734.93,1,0.0004839897155761719
121,Newton-CG,1.0,1.0,[-0.09  1.28  4.99 -0.44],[-0.01  1.28  4.99 -0.44],112087004.56,1,0.00036978721618652344
122,Newton-CG,1.0,10.0,[-2.99  0.48  2.68 -4.91],[-0.01  0.52  2.68 -4.91],19774994.54,1,0.0003197193145751953
123,Newton-CG,1.0,30.0,[-1.66  1.11  0.69 -0.19],[-0.01  1.13  0.69 -0.19],72817707.16,1,0.00032210350036621094
124,Newton-CG,1.0,50.0,[ 1.08  4.33 -0.25 -1.74],[-0.05  4.31 -0.25 -1.74],1006701587.02,1,0.00030422210693359375
125,Newton-CG,1.0,100.0,[-2.77  2.29 -4.53 -0.54],[-0.03  2.32 -4.53 -0.54],260858711.24,1,0.0002956390380859375
126,Newton-CG,10.0,0.01,[-3.38 -0.59 -4.02  3.52],[ 0.01 -0.55 -4.02  3.52],22903184.0,1,0.0003104209899902344
127,Newton-CG,10.0,0.1,[-2.41  0.75  0.45 -4.6 ],[-0.01  0.78  0.45 -4.6 ],34440751.94,1,0.00047206878662109375
128,Newton-CG,10.0,1.0,[-1.37  0.13 -0.79 -2.25],[-0.    0.15 -0.79 -2.25],1017993.01,1,0.00038170814514160156
129,Newton-CG,10.0,10.0,[ 4.7  -0.81  1.01  3.83],[ 0.01 -0.86  1.01  3.83],35949226.21,1,0.0003886222839355469
130,Newton-CG,10.0,30.0,[ 3.72 -4.71  1.97  2.82],[ 0.06 -4.75  1.96  2.82],1182768804.88,1,0.00035381317138671875
131,Newton-CG,10.0,50.0,[ 0.36  1.08 -3.64  0.28],[-0.01  1.08 -3.64  0.28],52471625.98,1,0.0003161430358886719
132,Newton-CG,10.0,100.0,[ 3.19 -0.02 -2.6   4.76],[ 0.   -0.05 -2.6   4.76],719452.28,1,0.0003535747528076172
133,Newton-CG,100.0,0.01,[ 0.77  0.15  3.7  -1.66],[-0.    0.14  3.7  -1.66],3775241.25,1,0.0003829002380371094
134,Newton-CG,100.0,0.1,[-1.67 -4.43 -0.38 -4.3 ],[ 0.05 -4.41 -0.38 -4.3 ],1052276131.58,1,0.0003848075866699219
135,Newton-CG,100.0,1.0,[-1.8   2.29 -3.43  0.03],[-0.03  2.31 -3.43  0.03],266176156.9,1,0.0003190040588378906
136,Newton-CG,100.0,10.0,[ 4.69  4.13  0.53 -2.11],[-0.05  4.07  0.53 -2.11],907729111.72,1,0.00038814544677734375
137,Newton-CG,100.0,30.0,[ 0.59 -1.29 -0.17 -0.11],[ 0.02 -1.3  -0.17 -0.11],89774096.67,1,0.0003674030303955078
138,Newton-CG,100.0,50.0,[-1.92  3.83 -2.3   2.38],[-0.04  3.85 -2.3   2.38],779428475.29,1,0.00032401084899902344
139,Newton-CG,100.0,100.0,[-4.67 -4.12  0.61 -0.61],[ 0.05 -4.07  0.61 -0.61],882093098.49,1,0.0003082752227783203
140,Newton-CG,1000.0,0.01,[ 3.3  -1.58 -3.11  3.48],[ 0.02 -1.62 -3.11  3.48],155301293.22,1,0.00032520294189453125
141,Newton-CG,1000.0,0.1,[-1.19 -2.1  -1.63  4.83],[ 0.03 -2.09 -1.63  4.83],242391536.35,1,0.0003407001495361328
142,Newton-CG,1000.0,1.0,[-2.03 -0.74  4.67  2.9 ],[ 0.01 -0.71  4.67  2.9 ],16996728.73,1,0.000339508056640625
143,Newton-CG,1000.0,10.0,[ 3.64 -1.14  4.03 -0.4 ],[ 0.01 -1.19  4.03 -0.4 ],60269504.2,1,0.00033783912658691406
144,Newton-CG,1000.0,30.0,[ 4.81 -2.08 -2.28  4.03],[ 0.03 -2.13 -2.28  4.03],258210147.92,1,0.00034546852111816406
145,Newton-CG,1000.0,50.0,[ 1.31  3.25 -1.54 -1.69],[-0.04  3.23 -1.54 -1.69],552159077.78,1,0.0003409385681152344
146,Newton-CG,1000.0,100.0,[ 0.72  2.98 -3.82  4.31],[-0.03  2.97 -3.82  4.31],445934754.2,1,0.00034427642822265625
147,Newton-CG,10000.0,0.01,[-2.37 -4.83  0.98 -0.53],[ 0.06 -4.8   0.99 -0.53],1223895319.09,1,0.0003170967102050781
148,Newton-CG,10000.0,0.1,[-0.64  1.17  3.26 -4.4 ],[-0.01  1.17  3.26 -4.4 ],88391937.46,1,0.00032019615173339844
149,Newton-CG,10000.0,1.0,[ 1.19  1.24 -1.7  -0.66],[-0.01  1.22 -1.7  -0.66],75711804.87,1,0.0003840923309326172
150,Newton-CG,10000.0,10.0,[-3.89  4.36  0.98 -4.67],[-0.05  4.41  0.98 -4.67],1066947278.14,1,0.0003352165222167969
151,Newton-CG,10000.0,30.0,[-4.29 -3.93  4.05 -1.71],[ 0.05 -3.88  4.05 -1.71],759161693.32,1,0.00030684471130371094
152,Newton-CG,10000.0,50.0,[ 3.39  2.59 -3.27  3.23],[-0.03  2.55 -3.27  3.23],328459743.95,1,0.0003020763397216797
153,Newton-CG,10000.0,100.0,[ 4.26  2.79 -2.78 -3.  ],[-0.03  2.74 -2.78 -3.  ],383328432.04,1,0.0003018379211425781
154,Newton-CG,100000.0,0.01,[-4.1   4.08 -1.64 -3.53],[-0.05  4.13 -1.64 -3.53],903920395.4,1,0.00030231475830078125
155,Newton-CG,100000.0,0.1,[-3.78 -1.89  2.81  2.32],[ 0.02 -1.84  2.81  2.32],164856449.68,1,0.0003139972686767578
156,Newton-CG,100000.0,1.0,[ 1.38  2.73  1.41 -0.55],[-0.03  2.71  1.41 -0.55],413911258.0,1,0.0003104209899902344
157,Newton-CG,100000.0,10.0,[-0.88  1.67  3.1  -1.44],[-0.02  1.68  3.1  -1.44],172106938.59,1,0.00030231475830078125
158,Newton-CG,100000.0,30.0,[ 4.17 -4.55 -4.16  1.98],[ 0.05 -4.6  -4.16  1.98],1197390688.85,1,0.0003046989440917969
159,Newton-CG,100000.0,50.0,[-3.97  2.31  2.38 -3.01],[-0.03  2.35  2.38 -3.01],319581665.82,1,0.0003018379211425781
160,Newton-CG,100000.0,100.0,[ 2.97 -0.17  2.93 -2.4 ],[ 0.   -0.21  2.93 -2.4 ],653520.51,1,0.0003542900085449219
161,Newton-CG,1000000.0,0.01,[-4.6  -0.85 -0.62 -3.03],[ 0.01 -0.8  -0.62 -3.03],35042134.74,1,0.00033402442932128906
162,Newton-CG,1000000.0,0.1,[-3.04 -2.23 -2.   -4.73],[ 0.03 -2.19 -2.   -4.73],271683819.47,1,0.00030422210693359375
163,Newton-CG,1000000.0,1.0,[ 1.57  1.35 -0.93 -3.34],[-0.01  1.33 -0.93 -3.34],92950879.45,1,0.0003190040588378906
164,Newton-CG,1000000.0,10.0,[ 2.37  2.28 -1.73  0.09],[-0.03  2.26 -1.73  0.09],265965571.83,1,0.0003364086151123047
165,Newton-CG,1000000.0,30.0,[-3.73  4.14 -2.3   1.45],[-0.05  4.18 -2.3   1.45],919024528.8,1,0.0004124641418457031
166,Newton-CG,1000000.0,50.0,[ 1.52  4.75  3.92 -4.58],[-0.05  4.73  3.92 -4.58],1272181159.8,1,0.0003592967987060547
167,Newton-CG,1000000.0,100.0,[ 0.53  1.34 -4.21 -4.11],[-0.01  1.34 -4.21 -4.11],80818684.15,1,0.0003521442413330078
168,trust-ncg,1e-05,0.01,[-2.43  1.46 -2.14 -4.91],[ 0.   -0.02  0.26  3.94],2455.19,12,0.002999544143676758
169,trust-ncg,1e-05,0.1,[-1.87  4.72  1.49  4.24],[ 0.   -0.02  0.26  3.94],2455.19,8,0.0026786327362060547
170,trust-ncg,1e-05,1.0,[-1.94  1.23 -0.34  0.93],[ 0.   -0.02  0.26  3.94],2455.19,8,0.0031120777130126953
171,trust-ncg,1e-05,10.0,[-2.78 -4.12  0.57  0.39],[ 0.   -0.02  0.26  3.94],2455.19,8,0.002786397933959961
172,trust-ncg,1e-05,30.0,[ 3.35 -4.07 -3.57 -3.42],[ 0.   -0.02  0.26  3.94],2455.19,8,0.0020377635955810547
173,trust-ncg,1e-05,50.0,[-4.4   2.67 -1.58 -2.15],[ 0.   -0.02  0.26  3.94],2455.19,9,0.002026796340942383
174,trust-ncg,1e-05,100.0,[ 3.62 -1.42  1.32  2.31],[ 0.   -0.02  0.26  3.94],2455.19,6,0.0013651847839355469
175,trust-ncg,0.0001,0.01,[-0.51 -2.92 -0.41 -1.89],[ 0.   -0.02  0.26  3.94],2455.19,11,0.002705812454223633
176,trust-ncg,0.0001,0.1,[-0.98  4.28 -0.41  1.91],[ 0.   -0.02  0.26  3.94],2455.19,6,0.0014407634735107422
177,trust-ncg,0.0001,1.0,[ 4.14 -2.   -2.46 -2.16],[ 0.   -0.02  0.26  3.94],2455.19,9,0.0020246505737304688
178,trust-ncg,0.0001,10.0,[ 4.22  3.71 -4.84 -3.3 ],[ 0.   -0.02  0.26  3.94],2455.19,9,0.0018277168273925781
179,trust-ncg,0.0001,30.0,[ 2.89 -4.65 -4.71  4.03],[ 0.   -0.02  0.26  3.94],2455.19,9,0.0018436908721923828
180,trust-ncg,0.0001,50.0,[-1.12  2.59 -1.77  4.94],[ 0.   -0.02  0.26  3.94],2455.19,38,0.00417637825012207
181,trust-ncg,0.0001,100.0,[ 4.06  4.17 -1.08  2.78],[ 0.   -0.02  0.26  3.94],2455.19,8,0.0017368793487548828
182,trust-ncg,0.001,0.01,[-2.41 -2.7   1.76 -4.99],[ 0.   -0.02  0.26  3.94],2455.19,11,0.002382040023803711
183,trust-ncg,0.001,0.1,[-3.43 -1.3   1.24  4.26],[ 0.   -0.02  0.26  3.94],2455.19,7,0.0014362335205078125
184,trust-ncg,0.001,1.0,[ 1.27 -0.23 -2.28 -1.39],[ 0.   -0.02  0.26  3.94],2455.19,12,0.002536773681640625
